relative_path	category	size_bytes	sha256	source_or_role
data/HB_FOUR_STATE_SUMMARY.csv	data	388	430512688e3ae618a637c7e309ced3d67b5c5cb0d5bbf0ca8621843418c26de1	Frozen four-state summary copied unchanged from fva
data/HB_FVA_FSEOF_CROSSCHECK.csv	data	240	ca9c963dfeb3bfd9bfd84b6c2a49d42ed8ca8fdfd46fdbc7b79fd74b0eb980ad	Frozen FVA/FSEOF cross-check copied unchanged from fva
data/HB_FVA_GROWTH_TO_STORAGE_SHIFT.csv	data	1581	70e125b812caa38b839a65a7d73aacc09bb6167ad474de262448486a2afe0b8c	Frozen growth-to-storage FVA results copied unchanged from fva
data/HB_N_O2_PHASE_PLANE_DATA.csv	data	36945	539b5fdb9ba50dd7137e8bbdd3fbeda9ae399a2f5fec623820ab20404b84852d	Frozen N-O2 phase-plane data copied unchanged from fva
figures/Fig4A_N_O2_Growth_PhasePlane.pdf	figure	50055	c3877f5c985d859b6c0a9ed0f26f6c63836f30aa0eb2f28a12a802351fd5efe1	Standalone growth phase-plane vector figure
figures/Fig4A_N_O2_Growth_PhasePlane.png	figure	305455	f453621bb1224fb1957890ced6d44edc05f7e978f311c0f98e5ae3436d1da766	Standalone growth phase-plane 600-dpi figure
figures/Fig4A_N_O2_Growth_PhasePlane.svg	figure	60043	d5a6c3d5122339460b884f957ef2efe82ce7e0b9003eac2074986defb1d9c166	Standalone editable growth phase-plane figure
figures/Fig4B_N_O2_PHB_PhasePlane.pdf	figure	54067	c0f65d3f48c455414680cc518a409d063adb72b2f78a0266e8c5df4c518cf62d	Standalone PHB phase-plane vector figure
figures/Fig4B_N_O2_PHB_PhasePlane.png	figure	354781	4d5513dd6125349350c41e8e0999a3af134c339fa436a5f94737a3d40d562a8e	Standalone PHB phase-plane 600-dpi figure
figures/Fig4B_N_O2_PHB_PhasePlane.svg	figure	66475	dd08ccd29a52ae86072aea0c9b94c30b4a74977f8c48ee60974ea876623061a5	Standalone editable PHB phase-plane figure
figures/Fig4C_FVA_Growth_to_Storage_Shift.pdf	figure	47767	142dcf47e648aaf39d22ec74a88d8c8643e1d7f84aad952147d9ec5a005a02fd	Standalone FVA comparison vector figure
figures/Fig4C_FVA_Growth_to_Storage_Shift.png	figure	293506	2414e2fb28abdd4b1edca6d8848fd88be617430df1232a736468b651f4b7681a	Standalone FVA comparison 600-dpi figure
figures/Fig4C_FVA_Growth_to_Storage_Shift.svg	figure	19998	d517a38bdffd5e308203c0b7ec7de8416351a35888dbadf86c896b7b16ed583c	Standalone editable FVA comparison figure
METHODS_AND_ASSUMPTIONS.md	documentation	2604	1ef781510a0abb62156475349407c6cb74894787e43b4bb3d03cd263aaf124da	Methods, state definitions, normalization, and interpretation limits
notebooks/HB_FVA_PHASEPLANE_REPRODUCTION.ipynb	notebook	5763	5b35a1e21f337427a402c63102d1405aa5553faf205ed844bb1b5a3c1ee4dc5c	Sectioned notebook reproduction entry point for standalone figures
README.md	documentation	2505	b98d13d52b4168e72825dd498d583d62d4e33accdab0e71a129102e8a1fee01e	Package overview and command-line reproduction instructions
scripts/run_fva_phaseplane_figures.py	script	17830	f07904a9e44ac886ab92ae0867270fb13f22fc854a4cff1f85d355ccac6b3d24	Master validation and standalone-figure reproduction script
