final_category	reaction_count	percentage
Amino acid metabolism	390	16.407236011779556
Energy metabolism / respiration	295	12.410601598653766
Inorganic ion metabolism	270	11.358855700462769
Nucleotide metabolism	246	10.349179638199413
Exchange / extracellular interface	235	9.886411442995373
Central carbon metabolism	218	9.171224232225494
Lipid metabolism	187	7.867059318468658
Cofactor and vitamin metabolism	159	6.689103912494741
Carbohydrate metabolism	149	6.268405553218343
Other curated	88	3.70214556163231
Nitrogen metabolism	49	2.0614219604543544
Cell envelope / membrane biosynthesis	41	1.724863273033235
Sulfur metabolism	33	1.388304585612116
PHB / storage metabolism	14	0.5889777029869584
Unresolved	2	0.0841396718552797
Biomass precursor synthesis	1	0.0420698359276398
