exchange_id	lower_bound	upper_bound	maximum_uptake
EX_ca2_e	-1000.0	1000.0	1000.0
EX_cl_e	-1000.0	1000.0	1000.0
EX_co2_e	-1000.0	1000.0	1000.0
EX_cobalt2_e	-1000.0	1000.0	1000.0
EX_cu2_e	-1000.0	1000.0	1000.0
EX_fe2_e	-1000.0	1000.0	1000.0
EX_fe3_e	-1000.0	1000.0	1000.0
EX_glc__D_e	-2.8	1000.0	2.8
EX_h2o_e	-1000.0	1000.0	1000.0
EX_k_e	-1000.0	1000.0	1000.0
EX_mg2_e	-1000.0	1000.0	1000.0
EX_mn2_e	-1000.0	1000.0	1000.0
EX_mobd_e	-1000.0	1000.0	1000.0
EX_na1_e	-1000.0	1000.0	1000.0
EX_nh4_e	-1000.0	1000.0	1000.0
EX_ni2_e	-1000.0	1000.0	1000.0
EX_o2_e	-1000.0	1000.0	1000.0
EX_pi_e	-1000.0	1000.0	1000.0
EX_sel_e	-1000.0	1000.0	1000.0
EX_slnt_e	-1000.0	1000.0	1000.0
EX_so4_e	-1000.0	1000.0	1000.0
EX_zn2_e	-1000.0	1000.0	1000.0
