reaction_id	reaction_name	reaction_type	raw_subsystem	database_annotation	candidate_category	final_category	classification_evidence	classification_rule
EX_25dkglcn_e	EX_25dkglcn_e	Exchange		bigg.reaction EX_25dkglcn_e sbo SBO:0000627	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_3amp_e	EX_3amp_e	Exchange		bigg.reaction EX_3amp_e metanetx.reaction MNXR94857 sbo SBO:0000627 seed.reaction rxn07973	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_3cmp_e	EX_3cmp_e	Exchange		bigg.reaction EX_3cmp_e metanetx.reaction MNXR94861 sbo SBO:0000627 seed.reaction rxn07974	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_3gmp_e	EX_3gmp_e	Exchange		bigg.reaction EX_3gmp_e metanetx.reaction MNXR94868 sbo SBO:0000627 seed.reaction rxn07975	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_3h4atb_e	EX_3h4atb_e	Exchange		bigg.reaction EX_3h4atb_e sbo SBO:0000627	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_3mb_e	EX_3mb_e	Exchange		bigg.reaction EX_3mb_e metanetx.reaction MNXR94918 sbo SBO:0000627	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_3ump_e	EX_3ump_e	Exchange		bigg.reaction EX_3ump_e metanetx.reaction MNXR94983 sbo SBO:0000627 seed.reaction rxn08005	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_4ahmmp_e	EX_4ahmmp_e	Exchange		bigg.reaction EX_4ahmmp_e sbo SBO:0000627	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_4hba_e	EX_4hba_e	Exchange		bigg.reaction EX_4hba_e biocyc META:TRANS-RXN0-274 metanetx.reaction MNXR95007 sbo SBO:0000627 seed.reaction rxn12376	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_4hpro_LT_e	EX_4hpro_LT_e	Exchange		bigg.reaction EX_4hpro_LT_e metanetx.reaction MNXR95022 sbo SBO:0000627 seed.reaction rxn09791	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_5drib_e	EX_5drib_e	Exchange		bigg.reaction EX_5drib_e sbo SBO:0000627	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_5mcsn_e	EX_5mcsn_e	Exchange		bigg.reaction EX_5mcsn_e sbo SBO:0000627	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_LalaDgluMdapDala_e	EX_LalaDgluMdapDala_e	Exchange		bigg.reaction EX_LalaDgluMdapDala_e metanetx.reaction MNXR95051 sbo SBO:0000627 seed.reaction rxn08009	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_LalaDgluMdap_e	EX_LalaDgluMdap_e	Exchange		bigg.reaction EX_LalaDgluMdap_e metanetx.reaction MNXR94971 sbo SBO:0000627 seed.reaction rxn08004	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_LalaLglu_e	EX_LalaLglu_e	Exchange		bigg.reaction EX_LalaLglu_e metanetx.reaction MNXR101005 rhea 35135;35136;35137;35138 sbo SBO:0000627	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_ac_e	EX_ac_e	Exchange		bigg.reaction EX_ac_e biocyc META:RXN0-1981;META:TRANS-RXN0-567 metanetx.reaction MNXR95431 rhea 27814;27815;27816;27817 sbo SBO:0000627 seed.reaction rxn08063;rxn09787;rxn09866;rxn10904	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_acac_e	EX_acac_e	Exchange		bigg.reaction EX_acac_e biocyc META:TRANS-RXN0-281 metanetx.reaction MNXR95208 rhea 29751;29752;29753;29754 sbo SBO:0000627 seed.reaction rxn08030;rxn10960;rxn13115	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_acald_e	EX_acald_e	Exchange		bigg.reaction EX_acald_e metanetx.reaction MNXR95212 reactome R-HSA-449872 sbo SBO:0000627 seed.reaction rxn08032;rxn08033;rxn09700;rxn13212	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_acglu_e	EX_acglu_e	Exchange		bigg.reaction EX_acglu_e sbo SBO:0000627	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_acon_C_e	EX_acon_C_e	Exchange		bigg.reaction EX_acon_C_e metanetx.reaction MNXR95381 sbo SBO:0000627 seed.reaction rxn12788	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_acser_e	EX_acser_e	Exchange		bigg.reaction EX_acser_e biocyc META:RXN0-1923 metanetx.reaction MNXR95416 rhea 29659;29660;29661;29662 sbo SBO:0000627 seed.reaction rxn08059;rxn08060	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_ade_e	EX_ade_e	Exchange		bigg.reaction EX_ade_e biocyc META:TRANS-RXN0-577 metanetx.reaction MNXR95445 sbo SBO:0000627 seed.reaction rxn08065;rxn09786;rxn10918	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_adn_e	EX_adn_e	Exchange		bigg.reaction EX_adn_e metanetx.reaction MNXR95460 sbo SBO:0000627 seed.reaction rxn08069;rxn11000	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_agm_e	EX_agm_e	Exchange		bigg.reaction EX_agm_e metanetx.reaction MNXR95556 sbo SBO:0000627 seed.reaction rxn08082	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_akg_e	EX_akg_e	Exchange		bigg.reaction EX_akg_e metanetx.reaction MNXR95663 sbo SBO:0000627 seed.reaction rxn08096;rxn10923;rxn13220	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_ala_L_asp__L_e	EX_ala_L_asp__L_e	Exchange		bigg.reaction EX_ala_L_asp__L_e metanetx.reaction MNXR142920 sbo SBO:0000627	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_ala_L_glu__L_e	EX_ala_L_glu__L_e	Exchange		bigg.reaction EX_ala_L_glu__L_e metanetx.reaction MNXR142922 sbo SBO:0000627	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_ala__D_e	EX_ala__D_e	Exchange		bigg.reaction EX_ala__D_e metanetx.reaction MNXR95702 sbo SBO:0000627 seed.reaction rxn08302;rxn10991	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_ala__L_e	EX_ala__L_e	Exchange		bigg.reaction EX_ala__L_e metanetx.reaction MNXR95706 sbo SBO:0000627 seed.reaction rxn08104;rxn10921;rxn13221	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_alaala_e	EX_alaala_e	Exchange		bigg.reaction EX_alaala_e metanetx.reaction MNXR95679 sbo SBO:0000627 seed.reaction rxn08099	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_alahis_e	EX_alahis_e	Exchange		bigg.reaction EX_alahis_e sbo SBO:0000627	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_alaleu_e	EX_alaleu_e	Exchange		bigg.reaction EX_alaleu_e sbo SBO:0000627	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_alathr_e	EX_alathr_e	Exchange		bigg.reaction EX_alathr_e sbo SBO:0000627	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_alatrp_e	EX_alatrp_e	Exchange		bigg.reaction EX_alatrp_e sbo SBO:0000627	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_alltn_e	EX_alltn_e	Exchange		bigg.reaction EX_alltn_e biocyc META:TRANS-RXN0-557 metanetx.reaction MNXR95771 sbo SBO:0000627 seed.reaction rxn08117;rxn09698	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_anhgm_e	EX_anhgm_e	Exchange		bigg.reaction EX_anhgm_e metanetx.reaction MNXR95839 sbo SBO:0000627 seed.reaction rxn08135	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_arab__L_e	EX_arab__L_e	Exchange		bigg.reaction EX_arab__L_e metanetx.reaction MNXR95913 sbo SBO:0000627	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_arg__L_e	EX_arg__L_e	Exchange		bigg.reaction EX_arg__L_e biocyc META:RXN66-448 metanetx.reaction MNXR95951 rhea 32143;32144;32145;32146 sbo SBO:0000627 seed.reaction rxn08155;rxn10840	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
EX_asn__L_e	EX_asn__L_e	Exchange		bigg.reaction EX_asn__L_e metanetx.reaction MNXR96069 sbo SBO:0000627 seed.reaction rxn05220;rxn08162	Environmental exchange	Exchange / extracellular interface	reaction identifier/type	EXCHANGE_TYPE
