gene_id	associated_reactions	raw_candidate_categories	final_category	evidence_source	assignment_rule	growth_WT_h-1	growth_KO_h-1	growth_ratio
EHJ91155_1	HISTP;PSP_L	Amino acid metabolism;Inorganic ion metabolism	Amino acid metabolism	metabolite context: phosphate;reaction name: serine	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-8.60990724686456e-17	-2.9665358992654363e-16
EHJ91351_1	UGMDDS	Amino acid metabolism	Amino acid metabolism	reaction name: alanine	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	0.0	0.0
EHJ91353_1	UAMAGS	Amino acid metabolism	Amino acid metabolism	reaction name: glutamate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	4.7298243178469906e-17	1.6296567702539934e-16
EHJ91630_1	OHPBAT;PSERT	Amino acid metabolism	Amino acid metabolism	reaction name: serine;reaction name: threonine	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	1.0889989155477207e-16	3.7521360969479694e-16
EHJ91631_1	AROH;CHORM;PPNDH	Amino acid metabolism;Central carbon metabolism	Amino acid metabolism	database annotation: chorismate;metabolite context: alanine;metabolite context: pyruvate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-3.919564231639031e-17	-1.3504823767838252e-16
EHJ91952_1	GLUPRT	Amino acid metabolism	Amino acid metabolism	reaction name: glutamine	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	3.38550843782064e-16	1.1664739270818957e-15
EHJ92374_1	CHORS	Amino acid metabolism	Amino acid metabolism	database annotation: chorismate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-3.09376025431747e-16	-1.0659523494281049e-15
EHJ93023_1	PRMICI	Amino acid metabolism	Amino acid metabolism	curated reaction-ID mapping	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	1.0094237158837117e-17	3.477960452860207e-17
EHJ93566_1	ASPK	Amino acid metabolism	Amino acid metabolism	database annotation: aspartate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	1.9597821158195158e-17	6.752411883919127e-17
EHJ93575_1	CTPS1;CTPS2	Amino acid metabolism;Nitrogen metabolism	Amino acid metabolism	metabolite context: ammonium;reaction name: glutamine	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-3.988156605692716e-15	-1.3741158183775428e-14
EHJ93580_1	SHKK	Amino acid metabolism	Amino acid metabolism	database annotation: shikimate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	2.3206844517234976e-16	7.995897678702578e-16
EHJ93638_1	ORNCD;ORNCD_1	Amino acid metabolism	Amino acid metabolism	database annotation: ornithine;reaction name: ornithine	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-6.010868230816559e-17	-2.0710393133404611e-16
EHJ93801_1	PPCDC;PPNCL2	Amino acid metabolism	Amino acid metabolism	reaction name: cysteine	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	1.4690073287087312e-16	5.061451711324137e-16
EHJ93804_1	ACGK	Amino acid metabolism	Amino acid metabolism	reaction name: glutamate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	0.0	0.0
EHJ93824_1	4HTHRS;THRS	Amino acid metabolism	Amino acid metabolism	reaction name: threonine	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-3.919564231639031e-17	-1.3504823767838252e-16
EHJ93868_1	HSERTA	Amino acid metabolism	Amino acid metabolism	database annotation: serine	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	5.879346347458546e-17	2.025723565175737e-16
EHJ93869_1	HSERTA	Amino acid metabolism	Amino acid metabolism	database annotation: serine	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	1.4189472953540975e-16	4.888970310761981e-16
EHJ93882_1	PANTS	Amino acid metabolism	Amino acid metabolism	database annotation: alanine	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	5.879346347458546e-17	2.025723565175737e-16
EHJ94195_1	METAT	Amino acid metabolism	Amino acid metabolism	reaction name: methionine	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-1.4422740854628072e-16	-4.969342559019728e-16
EHJ94210_1	ASPCT;CBPS;DHORTS	Amino acid metabolism	Amino acid metabolism	metabolite context: aspartate;reaction name: aspartate;reaction name: glutamine	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-1.107276895438027e-15	-3.815112714414308e-15
EHJ94299_1	GF6PTA	Amino acid metabolism	Amino acid metabolism	reaction name: glutamine	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-1.771901701187777e-17	-6.105071583038533e-17
EHJ94720_1	ICHORS	Amino acid metabolism	Amino acid metabolism	reaction name: chorismate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	2.603673661664837e-16	8.970934489582815e-16
EHJ91350_1	UAAGDS	Cell envelope / membrane biosynthesis	Cell envelope/membrane	reaction name: diaminopimelate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-5.539806364033725e-18	-1.9087353652816525e-17
EHJ91352_1	PAPPT3	Cell envelope / membrane biosynthesis	Cell envelope/membrane	reaction name: diaminopimelate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	0.0	0.0
EHJ91355_1	UAGPT3	Cell envelope / membrane biosynthesis	Cell envelope/membrane	metabolite context: undecaprenyl	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	7.407297215482846e-17	2.5521776804577035e-16
EHJ93780_1	UDCPDPS	Cell envelope / membrane biosynthesis	Cell envelope/membrane	reaction name: undecaprenyl	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	1.4690073287087312e-16	5.061451711324137e-16
EHJ94296_1	UDCPDP;UDCPDPex	Cell envelope / membrane biosynthesis	Cell envelope/membrane	reaction name: undecaprenyl	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-1.1758692694917098e-16	-4.0514471303514776e-16
EHJ94373_1	DAPDC	Cell envelope / membrane biosynthesis	Cell envelope/membrane	reaction name: diaminopimelate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-1.0112110011566051e-16	-3.4841185284030053e-16
EHJ94374_1	DAPE	Cell envelope / membrane biosynthesis	Cell envelope/membrane	curated reaction-ID mapping	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	3.87455701478397e-16	1.3349751801673712e-15
EHJ91283_1	ADSS	Central carbon metabolism	Central carbon metabolism	database annotation: succinate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	-3.188585072649568e-14	-1.0986241564125445e-13
EHJ91326_1	UAGCVT	Central carbon metabolism	Central carbon metabolism	metabolite context: pyruvate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	0.0	0.0
EHJ91392_1	ADCL	Central carbon metabolism	Central carbon metabolism	metabolite context: pyruvate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	0.0	0.0
EHJ91608_1	ARGSS	Central carbon metabolism	Central carbon metabolism	reaction name: succinate	DOMINANT_ASSOCIATED_REACTION_FUNCTION	0.2902343858032029	1.0080475409689114e-17	3.4732188544069715e-17
