GAM	minimum_growth_rate_h_1	PHB_flux_mmol_lump_gDW_h	PHB_mass_rate_g_gDW_h
40.0	0.0	0.874999999999958	0.30131499999998557
40.0	0.01	0.8481037149006924	0.29205299526320244
40.0	0.02	0.8212074298009122	0.2827909905262421
40.0	0.03	0.7943111447015639	0.2735289857894306
40.0	0.04	0.7674148596018763	0.2642669810525021
40.0	0.05	0.740518574502186	0.2550049763155728
40.0	0.06	0.7136222894023232	0.24574297157858402
40.0	0.07	0.6867260043032755	0.23648096684187594
40.0	0.08	0.6598297192032779	0.2272189621048408
40.0	0.09	0.6329334341032642	0.21795695736780005
40.0	0.1	0.6060371490039911	0.20869495263101437
50.0	0.0	0.8749999999999715	0.3013149999999902
50.0	0.01	0.8472108577575284	0.2917455309773825
50.0	0.02	0.8194217155151228	0.28217606195478767
50.0	0.03	0.7916325732727573	0.2726065929322067
50.0	0.04	0.7638434310301654	0.26303712390954775
50.0	0.05	0.7360542887878333	0.25346765488697826
50.0	0.06	0.7082651465455786	0.24389818586443546
50.0	0.07	0.6804760043032748	0.23432871684187573
50.0	0.08	0.652686862060043	0.22475924781899642
50.0	0.09	0.624897719817692	0.21518977879642043
50.0	0.1	0.5971085775755436	0.20562030977391418
53.95	0.0	0.8750000000000568	0.3013150000000196
53.95	0.01	0.8468581791861328	0.2916240825845367
53.95	0.02	0.8187163583725462	0.28193316516917
53.95	0.03	0.7905745375579158	0.2722422477534439
53.95	0.04	0.7624327167445603	0.26255133033815675
53.95	0.05	0.7342908959308391	0.25286041292274375
53.95	0.06	0.7061490751178717	0.24316949550759032
53.95	0.07	0.6780072543026237	0.23347857809165148
53.95	0.08	0.6498654334887566	0.22378766067618822
53.95	0.09	0.6217236126753648	0.21409674326088862
53.95	0.1	0.5935817918615353	0.2044058258454383
60.0	0.0	0.8749999999999774	0.30131499999999223
60.0	0.01	0.8463180006146044	0.2914380666916452
60.0	0.02	0.8176360012296067	0.28156113338342736
60.0	0.03	0.7889540018446942	0.2716842000752389
60.0	0.04	0.7602720024591363	0.2618072667668282
60.0	0.05	0.7315900030731924	0.2519303334582845
60.0	0.06	0.7029080036892749	0.2420534001504387
60.0	0.07	0.6742260043027992	0.23217646684171195
60.0	0.08	0.6455440049176878	0.22229953353345497
60.0	0.09	0.6168620055325594	0.21242260022519216
60.0	0.1	0.5881800061467061	0.2025456669166797
70.0	0.0	0.8749999999999318	0.3013149999999765
70.0	0.01	0.8454251434716921	0.2911306024059119
70.0	0.02	0.8158502869441586	0.2809462048120905
70.0	0.03	0.7862754304160344	0.27076180721806564
70.0	0.04	0.756700573887943	0.26057740962405207
70.0	0.05	0.727125717359197	0.25039301202981307
70.0	0.06	0.6975508608313691	0.24020861443589026
70.0	0.07	0.6679760043027523	0.23002421684169577
70.0	0.08	0.638401147774473	0.21983981924761753
70.0	0.09	0.6088262912461996	0.20965542165354129
70.0	0.1	0.5792514347183105	0.1994710240595974
80.0	0.0	0.8750000000002274	0.30131500000007827
80.0	0.01	0.8445322863291204	0.29082313812029587
80.0	0.02	0.8140645726582931	0.28033127624060983
80.0	0.03	0.7835968589866134	0.2698394143606302
80.0	0.04	0.7531291453157904	0.2593475524809456
80.0	0.05	0.7226614316447915	0.24885569060120039
80.0	0.06	0.6921937179741409	0.23836382872157516
80.0	0.07	0.6617260043031908	0.2278719668418468
80.0	0.08	0.631258290631504	0.2173801049618647
80.0	0.09	0.6007905769605221	0.2068882430821254
80.0	0.1	0.5703228632898765	0.19639638120250186
100.0	0.0	0.8749999999999716	0.30131499999999023
100.0	0.01	0.842746572043585	0.29020820954892895
100.0	0.02	0.8104931440872798	0.27910141909789565
100.0	0.03	0.7782397161301381	0.26799462864657436
100.0	0.04	0.7459862881728259	0.25688783819519434
100.0	0.05	0.7137328602163094	0.24578104774408832
100.0	0.06	0.681479432260731	0.23467425729330535
100.0	0.07	0.6492260043030493	0.22356746684179807
100.0	0.08	0.6169725763459076	0.21246067639047675
100.0	0.09	0.5847191483901059	0.20135388593961687
100.0	0.1	0.5524657204329032	0.19024709548827454
