state	O2_fraction	O2_capacity_mmol_gDW_h	condition_mu_max_h_1	residual_growth_requirement_h_1	optimal_PHB_flux	optimal_PHB_mass_rate	reaction_id	reaction_name	flux	reported_flux	display_order
Low O2	0.05	0.2392097348900546	0.1126444880755463	0.0112644488075546	0.7514661706436939	0.2587748905228624	R_EX_o2_e	EX_o2_e	-0.2392097348900546	0.2392097348900546	1
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.0152724155763461	0.8319955738200966	0.2865059958006885	R_EX_o2_e	EX_o2_e	-1.1960486744502732	1.1960486744502732	1
High O2	1.0	4.784194697801093	0.2873320419450615	0.0287332041945061	0.7941395316151494	0.2734698891069928	R_EX_o2_e	EX_o2_e	-1.325684734516241	1.325684734516241	1
Low O2	0.05	0.2392097348900546	0.1126444880755463	0.0112644488075546	0.7514661706436939	0.2587748905228624	R_Growth	Biomass reaction (VB LC1 V2.2 same components)	0.0112644488075546	0.0112644488075546	2
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.0152724155763461	0.8319955738200966	0.2865059958006885	R_Growth	Biomass reaction (VB LC1 V2.2 same components)	0.0152724155763461	0.0152724155763461	2
High O2	1.0	4.784194697801093	0.2873320419450615	0.0287332041945061	0.7941395316151494	0.2734698891069928	R_Growth	Biomass reaction (VB LC1 V2.2 same components)	0.0287332041945061	0.0287332041945061	2
Low O2	0.05	0.2392097348900546	0.1126444880755463	0.0112644488075546	0.7514661706436939	0.2587748905228624	R_PDH	Pyruvate dehydrogenase	4.312120991918301	4.312120991918301	3
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.0152724155763461	0.8319955738200966	0.2865059958006885	R_PDH	Pyruvate dehydrogenase	2.858406677689326	2.858406677689326	3
High O2	1.0	4.784194697801093	0.2873320419450615	0.0287332041945061	0.7941395316151494	0.2734698891069928	R_PDH	Pyruvate dehydrogenase	2.9091305090979973	2.9091305090979973	3
Low O2	0.05	0.2392097348900546	0.1126444880755463	0.0112644488075546	0.7514661706436939	0.2587748905228624	R_CS	Citrate synthase	0.0133788674713248	0.0133788674713248	4
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.0152724155763461	0.8319955738200966	0.2865059958006885	R_CS	Citrate synthase	0.0181391586444867	0.0181391586444867	4
High O2	1.0	4.784194697801093	0.2873320419450615	0.0287332041945061	0.7941395316151494	0.2734698891069928	R_CS	Citrate synthase	0.0341266348236231	0.0341266348236231	4
Low O2	0.05	0.2392097348900546	0.1126444880755463	0.0112644488075546	0.7514661706436939	0.2587748905228624	R_ACACT1r	Acetyl-CoA C-acetyltransferase	3.005864682574776	3.005864682574776	5
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.0152724155763461	0.8319955738200966	0.2865059958006885	R_ACACT1r	Acetyl-CoA C-acetyltransferase	3.3279822952803864	3.3279822952803864	5
High O2	1.0	4.784194697801093	0.2873320419450615	0.0287332041945061	0.7941395316151494	0.2734698891069928	R_ACACT1r	Acetyl-CoA C-acetyltransferase	3.176558126460597	3.176558126460597	5
Low O2	0.05	0.2392097348900546	0.1126444880755463	0.0112644488075546	0.7514661706436939	0.2587748905228624	R_PHB_SYN_HB	Poly(3-hydroxybutyrate) synthase	0.7514661706436939	0.7514661706436939	6
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.0152724155763461	0.8319955738200966	0.2865059958006885	R_PHB_SYN_HB	Poly(3-hydroxybutyrate) synthase	0.8319955738200966	0.8319955738200966	6
High O2	1.0	4.784194697801093	0.2873320419450615	0.0287332041945061	0.7941395316151494	0.2734698891069928	R_PHB_SYN_HB	Poly(3-hydroxybutyrate) synthase	0.7941395316151494	0.7941395316151494	6
Low O2	0.05	0.2392097348900546	0.1126444880755463	0.0112644488075546	0.7514661706436939	0.2587748905228624	R_ATPS4rpp	ATP synthase (four protons for one ATP) (periplasm)	0.9519530285543422	0.9519530285543422	7
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.0152724155763461	0.8319955738200966	0.2865059958006885	R_ATPS4rpp	ATP synthase (four protons for one ATP) (periplasm)	4.7756189095419	4.7756189095419	7
High O2	1.0	4.784194697801093	0.2873320419450615	0.0287332041945061	0.7941395316151494	0.2734698891069928	R_ATPS4rpp	ATP synthase (four protons for one ATP) (periplasm)	5.284843904096301	5.284843904096301	7
Low O2	0.05	0.2392097348900546	0.1126444880755463	0.0112644488075546	0.7514661706436939	0.2587748905228624	R_CYO1_KT	Ubiquinol   cytochrome c reductase	0.4783718780914186	0.4783718780914186	8
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.0152724155763461	0.8319955738200966	0.2865059958006885	R_CYO1_KT	Ubiquinol   cytochrome c reductase	2.392032823768418	2.392032823768418	8
High O2	1.0	4.784194697801093	0.2873320419450615	0.0287332041945061	0.7941395316151494	0.2734698891069928	R_CYO1_KT	Ubiquinol   cytochrome c reductase	2.651248072794417	2.651248072794417	8
