metabolite_id	name	category	old_coefficient	new_coefficient	formula	MW
M_10fthf_c	10-Formyltetrahydrofolate	Residual	-0.000223	-0.0002282924577236777	C20H21N7O7	471.42344
M_ala__L_c	L-Alanine	Protein	-0.513689	-0.537590007354	C3H7NO2	89.09318
M_amet_c	S-Adenosyl-L-methionine	Residual	-0.000223	-0.0002282924577236777	C15H23N6O5S	399.44532000000004
M_arg__L_c	L-Arginine	Protein	-0.295792	-0.312073333768	C6H15N4O2	175.2089
M_asn__L_c	L-Asparagine	Protein	-0.241055	-0.154429139245	C4H8N2O3	132.11792
M_asp__L_c	L-Aspartate	Protein	-0.241055	-0.273566391446	C4H6NO4	132.09474
M_atp_c	ATP C10H12N5O13P3	RNA/GAM	-54.124831	-54.092099325263	C10H12N5O13P3	503.149263
M_ca2_c	Calcium	Residual	-0.005205	-0.005328530235209608	Ca	40.078
M_cl_c	Chloride	Residual	-0.005205	-0.005328530235209608	Cl	35.453
M_coa_c	Coenzyme A	Residual	-0.000576	-0.000589670204703311	C21H32N7O16P3S	763.5023630000001
M_cobalt2_c	Co2+	Residual	-0.0001	-0.00010237329942765817	Co	58.9332
M_ctp_c	CTP C9H12N3O14P3	RNA	-0.133508	-0.176528526295	C9H12N3O14P3	479.124563
M_cu2_c	Copper	Residual	-0.000709	-0.0007258266929420963	Cu	63.546
M_cys__L_c	L-Cysteine	Protein	-0.09158	-0.047025814905	C3H7NO2S	121.15818
M_datp_c	DATP C10H12N5O12P3	DNA	-0.026166	-0.0228082959761	C10H12N5O12P3	487.149863
M_dctp_c	DCTP C9H12N3O13P3	DNA	-0.027017	-0.0275225770962	C9H12N3O13P3	463.12516300000004
M_dgtp_c	DGTP C10H12N5O13P3	DNA	-0.027017	-0.0275225770962	C10H12N5O13P3	503.149263
M_dttp_c	DTTP C10H13N2O14P3	DNA	-0.026166	-0.0228082959761	C10H13N2O14P3	478.136503
M_fad_c	Flavin adenine dinucleotide oxidized	Residual	-0.000223	-0.0002282924577236777	C27H33N9O15P2	785.549742
M_fe2_c	Fe2+ mitochondria	Residual	-0.006715	-0.006874367056567245	Fe	55.845
M_fe3_c	Iron (Fe3+)	Residual	-0.007808	-0.00799330721931155	Fe	55.845
M_gln__L_c	L-Glutamine	Protein	-0.26316	-0.220102274762	C5H10N2O3	146.1445
M_glu__L_c	L-Glutamate	Protein	-0.26316	-0.315435831071	C5H8NO4	146.12132
M_gly_c	Glycine	Protein	-0.612638	-0.384717200601	C2H5NO2	75.0666
M_gtp_c	GTP C10H12N5O14P3	RNA	-0.215096	-0.187110330521	C10H12N5O14P3	519.148663
M_h2o_c	H2O H2O	Bookkeeping	-48.601527	-48.9434831564094	H2O	18.01528
M_his__L_c	L-Histidine	Protein	-0.094738	-0.12161100174	C6H9N3O2	155.15456
M_ile__L_c	L-Isoleucine	Protein	-0.290529	-0.258707511766	C6H13NO2	131.17291999999998
M_k_c	Potassium	Residual	-0.195193	-0.1998255143518288	K	39.0983
M_leu__L_c	L-Leucine	Protein	-0.450531	-0.56912621836	C6H13NO2	131.17291999999998
M_lys__L_c	L-Lysine	Protein	-0.343161	-0.153020248779	C6H15N2O2	147.1955
M_met__L_c	L-Methionine	Protein	-0.153686	-0.132763352723	C5H11NO2S	149.21134
M_mg2_c	Magnesium	Residual	-0.008675	-0.008880883725349346	Mg	24.305
M_mlthf_c	5,10-Methylenetetrahydrofolate	Residual	-0.000223	-0.0002282924577236777	C20H21N7O6	455.42404
M_mn2_c	Manganese	Residual	-0.000691	-0.0007073994990451179	Mn	54.938045
M_mql8_c	Menaquinol 8	Residual	-0.0001	-0.00010237329942765817	C51H74O2	719.13206
M_nad_c	Nicotinamide adenine dinucleotide	Residual	-0.001831	-0.0018744551125204208	C21H26N7O14P2	662.4171620000001
M_nadp_c	Nicotinamide adenine dinucleotide phosphate	Residual	-0.000447	-0.000457608648441632	C21H25N7O17P3	740.3811830000001
M_phe__L_c	L-Phenylalanine	Protein	-0.185265	-0.181116145857	C9H11NO2	165.18913999999998
M_pro__L_c	L-Proline	Protein	-0.221055	-0.237037629633	C5H9NO2	115.13046
M_pydx5p_c	Pyridoxal 5'-phosphate	Residual	-0.000223	-0.0002282924577236777	C8H8NO6P	245.125981
M_ribflv_c	Riboflavin C17H20N4O6	Residual	-0.000223	-0.0002282924577236777	C17H22N4O6	378.37978
M_ser__L_c	L-Serine	Protein	-0.215792	-0.29633799316	C3H7NO3	105.09258
M_so4_c	Sulfate	Residual	-0.004338	-0.004440953729171811	O4S	96.0626
M_thf_c	5,6,7,8-Tetrahydrofolate	Residual	-0.000223	-0.0002282924577236777	C19H21N7O6	443.41334
M_thmpp_c	Thiamine diphosphate	Residual	-0.000223	-0.0002282924577236777	C12H16N4O7P2S	422.290562
M_thr__L_c	L-Threonine	Protein	-0.253687	-0.259579877084	C4H9NO3	119.11916
M_trp__L_c	L-Tryptophan	Protein	-0.056843	-0.0748145410966	C11H12N2O2	204.22518
M_tyr__L_c	L-Tyrosine	Protein	-0.137896	-0.124432878283	C9H11NO3	181.18854
M_uaagmda_c	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala	Residual	-0.1	-0.10237329942765816	C95H153N8O28P2	1917.2156419999997
M_utp_c	UTP C9H11N2O15P3	RNA	-0.144104	-0.148333395904	C9H11N2O15P3	480.109323
M_val__L_c	L-Valine	Protein	-0.423162	-0.353029451957	C5H11NO2	117.14634
