query_id	subject_id	identity	qcov	scov	evalue	bitscore	best_hit	reciprocal_best_hit	confidence
MBB3329165.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329166.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329167.1	EHJ91509.1	33.5	57.7	31.6	3.62e-16	75.9	YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329168.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329169.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329170.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329171.1	EHJ93348.1	52.3	94.4	93.3	5.9199999999999995e-53	162.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329172.1	EHJ94497.1	81.5	99.7	95.1	2.54e-192	530.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329173.1	EHJ94493.1	79.2	85.6	93.9	4.389999999999999e-81	234.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329174.1	EHJ94492.1	88.5	100.0	99.8	2.49e-242	663.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329175.1	EHJ91871.1	55.3	72.3	61.0	2.48e-14	58.2	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329176.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329177.1	EHJ91443.1	76.5	63.1	65.5	3.57e-119	345.0	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329178.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329179.1	EHJ93973.1	60.4	94.1	94.9	8.56e-61	182.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329180.1	EHJ91790.1	47.4	92.0	99.1	5.4899999999999996e-254	729.0	YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329181.1	EHJ91872.1	58.3	99.5	99.5	3.29e-313	875.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329182.1	EHJ92281.1	76.9	98.8	98.0	6.78e-191	526.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329183.1	EHJ92280.1	69.0	99.8	97.6	5.410000000000001e-184	514.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329184.1	EHJ91873.1	64.9	83.2	94.0	3.68e-88	256.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329185.1	EHJ91874.1	63.7	99.8	98.6	4.6500000000000003e-213	595.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329186.1	EHJ91875.1	80.0	94.7	99.8	0.0	1276.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329187.1	EHJ91876.1	61.2	97.3	96.9	2.1500000000000001e-116	333.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329188.1	EHJ91877.1	71.0	99.3	99.5	3.9799999999999995e-228	629.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329189.1	EHJ91926.1	43.6	91.4	95.6	2.15e-101	306.0	YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329190.1							YES	NO	NO_RELIABLE_ORTHOLOG
MBB3329191.1	EHJ93488.1	32.2	90.6	88.8	2.2399999999999998e-23	89.7	YES	YES	NO_RELIABLE_ORTHOLOG
MBB3329192.1	EHJ93487.1	57.0	97.5	97.0	2.8e-125	359.0	YES	YES	POSSIBLE_ORTHOLOG
MBB3329193.1	EHJ91879.1	80.6	95.7	99.1	4.23e-195	535.0	YES	YES	PROBABLE_ORTHOLOG
MBB3329194.1	EHJ91880.1	69.5	99.1	99.4	8.83e-168	467.0	YES	YES	HIGH_CONFIDENCE_FUNCTIONAL_ORTHOLOG
MBB3329195.1							YES	NO	NO_RELIABLE_ORTHOLOG
