gene_id	protein_id	ncbi_annotation	uniprot_id	uniprot_reviewed	uniprot_function	ec	ko	kegg_gene	go	diamond_hit	rbh_hit	identity	query_coverage	subject_coverage	evalue	bitscore	reference_gene	reference_function	evidence_sources	evidence_class	conflict_flag
NOT_IN_CURRENT_CARVEME	EHJ91068.1	hypothetical protein KUC_3021	UNMAPPED	UNKNOWN	hypothetical protein KUC_3021	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING		UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91069.1	hypothetical protein KUC_1930	UNMAPPED	UNKNOWN	hypothetical protein KUC_1930	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING		UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91070.1	Transposase insF for insertion sequence IS3	UNMAPPED	UNKNOWN	Transposase insF for insertion sequence IS3	MISSING	MISSING			MBB3329318.1	NO	60.6	45.2	12.1			UNMAPPED	MISSING		UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91071.1	hypothetical protein KUC_1927	UNMAPPED	UNKNOWN	hypothetical protein KUC_1927	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING		UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91072.1	Uncharacterized protein	A0A265DVG1	UNKNOWN	Uncharacterized protein	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91073.1	hypothetical protein KUC_1926	UNMAPPED	UNKNOWN	hypothetical protein KUC_1926	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING		UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91074.1	hypothetical protein KUC_1925	UNMAPPED	UNKNOWN	hypothetical protein KUC_1925	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING		UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91075.1	TRAP transport system periplasmic solute binding protein (Extracytoplasmic solute receptor protein) (TRAP transporter)	A0ABX4G7J0	UNKNOWN	Part of the tripartite ATP-independent periplasmic (TRAP) transport system..	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91076.1	TRAP transporter small permease protein	A0A265DWL5	UNKNOWN	Part of the tripartite ATP-independent periplasmic (TRAP) transport system..	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91077.1	Phosphatase	A0ABX4G5W4	UNKNOWN	Phosphatase	MISSING	MISSING			MBB3329559.1	YES	50.7	95.8	95.8			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
NOT_IN_CURRENT_CARVEME	EHJ91078.1	Sodium-independent anion transporter	A0A265DTD7	UNKNOWN	Sodium-independent anion transporter	MISSING	MISSING			MBB3329560.1	YES	68.2	96.1	95.4			UNMAPPED	MISSING	UNIPROT;HC_RBH	PROBABLE	NO
EHJ91079_1	EHJ91079.1	FAD/NAD(P)-binding domain-containing protein	A0A265DTB3	UNKNOWN	FAD/NAD(P)-binding domain-containing protein	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
EHJ91080_1	EHJ91080.1	Sulfurtransferase	A0A265DTF0	UNKNOWN	Sulfurtransferase	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
EHJ91081_1	EHJ91081.1	MFS transporter	A0ABX4GEQ6	UNKNOWN	MFS transporter	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			Csal_0137	MFS transporter	UNIPROT	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91082.1	TetR/AcrR family transcriptional regulator	A0A265E359	UNKNOWN	TetR/AcrR family transcriptional regulator	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91083.1	Nucleotidyl transferase AbiEii/AbiGii toxin family protein	A0A265E321	UNKNOWN	Nucleotidyl transferase AbiEii/AbiGii toxin family protein	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91084.1	Transcriptional regulator AbiEi antitoxin N-terminal domain-containing protein	A0ABX4GEF0	UNKNOWN	Transcriptional regulator AbiEi antitoxin N-terminal domain-containing protein	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91085.1	AraC family transcriptional regulator	A0ABX4G8K6	UNKNOWN	AraC family transcriptional regulator	MISSING	MISSING			MBB3329592.1	YES	21.9	90.1	94.4			UNMAPPED	MISSING	UNIPROT;HC_RBH	UNMAPPED	NO
EHJ91086_1	EHJ91086.1	Glutamine synthetase 3	UNMAPPED	UNKNOWN	Glutamine synthetase 3	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING		UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91087.1	Phytanoyl-CoA dioxygenase family protein	A0ABX4G886	UNKNOWN	Phytanoyl-CoA dioxygenase family protein	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
EHJ91088_1	EHJ91088.1	Glutamine amidotransferase domain-containing protein	A0A265DXE8	UNKNOWN	Glutamine amidotransferase domain-containing protein	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
EHJ91089_1	EHJ91089.1	Ammonium transporter	A0A265DX67	UNKNOWN	Ammonium transporter	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91090.1	Uncharacterized protein	A0A265DX20	UNKNOWN	Uncharacterized protein	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91091.1	Uncharacterized protein	A0ABX4G4I7	UNKNOWN	Uncharacterized protein	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91092.1	hypothetical protein KUC_3916	UNMAPPED	UNKNOWN	hypothetical protein KUC_3916	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING		UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91093.1	hypothetical protein KUC_3917	UNMAPPED	UNKNOWN	hypothetical protein KUC_3917	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING		UNMAPPED	NO
NOT_IN_CURRENT_CARVEME	EHJ91094.1	Uncharacterized protein	A0A265DTE0	UNKNOWN	Uncharacterized protein	MISSING	MISSING			UNMAPPED	NOT_TESTED	MISSING	MISSING	MISSING			UNMAPPED	MISSING	UNIPROT	UNMAPPED	NO
